Front	Phonetic	中文释义	English	总次数	出现集数	Contexts	出现详情
adviser	/әd'vaizә/	n. 顾问, 劝告者, 指导教师	n. an expert who gives advice	1	1	[S01E04] White House adviser? Clinton's campaign guy? The one with the great hair, sexy smile, really cute butt?	S01E04(1)
aerobics	/.eiә'rәubiks/	n. 有氧运动法；增氧健身法	n. exercise that increases the need for oxygen	2	2	[S02E05] Oh, you know, the usual, teaching aerobics, partying way too much. Oh, and in case you were wondering, those are my legs ◆ [S04E06] Yeah, so what is she, like a... like a spokesmodel, or an aerobics instructor, what?	S02E05(1), S04E06(1)
affair	/ә'fєә/	n. 事件, 事务, 恋爱事件	n. a usually secretive or illicit sexual relationship	13	6	[S02E23] Yeah, Karen. I'm thinking about having an affair with her. Oh, you know what? I just did. ◆ [S06E15-E0616] Because I’m married. That’s right, I am a married woman! And I came to a TV star’s apartment to have an affair! Uck! ◆ [S07E07] Hey, don’t start judging me!  Huh? You’re the one who’s in love with her assistant!  Huh? And you, you’re the one having ◆ [S08E13] Why would I say anything? That two of our best friends could start the greatest love affair of their lives! And they wou ◆ [S09E09] I don't want him to think that I'm having an affair.	S02E23(1), S06E15-E0616(1), S07E07(2), S08E13(1), S09E09(1), S10E10(7)
affect	/ә'fekt/	vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于	n. the conscious subjective aspect of feeling or emotion	11	9	[S01E17] Say your son never feels connected to you, as one. Say all of his relationships are affected by this. ◆ [S01E23] Oh. Dr. Franzblau: I try not to let my work affect my personal life, but it's hard, when you... do what I do. It's like  ◆ [S02E18] No. No way, I'm not signing that. DELIVERY GUY: I don't think that's gonna affect the plot of the show. ◆ [S03E24] Oh, one other thing. Hoshi thinks that you being ringside may have affected my concentration. ◆ [S06E01] Okay, look, how is this gonna affect you? Really? I mean you fill some form out once and a while and instead of checking	S01E17(1), S01E23(1), S02E18(1), S03E24(1), S06E01(1), S07E16(3), S08E22(1), S09E03(1), S09E20(1)
affection	/ә'fekʃәn/	n. 影响, 病, 喜爱, 情感, 倾向	n. a positive feeling of liking	2	2	"[S02E10] Uh, public display of affection coming up. You can avert your eyes. [kisses Monica] ◆ [S09E13] ""Tonight's the night we're gonna make it happen, tonight we'll put all other things aside. Give in this time and show me"	S02E10(1), S09E13(1)
affirmative	/ә'fә:mәtiv/	a. 肯定的, 赞成的, 积极的	n. a reply of affirmation	1	1	[S10E12] AFFIRMATIVE!	S10E12(1)
afford	/ә'fɒ:d/	vt. 买得起, 足以, 给予	v. be able to spare or give up	16	15	"[S02E05] Yes! Yeah, it's like they're always saying ""let's go here, let's go there"". Like we can afford to go here and there. ◆ [S02E16] Woah, woah, woah. I don't need a roommate either, OK? I can afford to live here by myself. Ya know, I may have to bring  ◆ [S03E06] This place is really my Grandmother’s.  I got it from her when she moved to Florida, otherwise I could never afford a pl ◆ [S03E10] Yeah. My Dad says if I spend as much time helping him clean apartments, as I do daydreaming about outer space, he’d be a ◆ [S04E07] A TV as if it appears from nowhere! That’s the dream! Man, how did you afford this stuff?"	S02E05(1), S02E16(1), S03E06(1), S03E10(1), S04E07(1), S04E17(1), S06E03(1), S06E11(1), S07E09(1), S07E17(2), S08E10(1), S08E20(1), S09E12(1), S09E18(1), S10E10(1)
affordable		[计] 普及型	s that you have the financial means for	1	1	[S05E07] Oh yeah! You're—hey, you're right! Here's an affordable place,  two bedroom, close to work, ooh, it's available in five 	S05E07(1)
afghan	/'æfgæn/	a. 阿富汗的, 阿富汗人的	n. a blanket knitted or crocheted in strips or squares; sometimes used as a shawl	1	1	[S02E07] OK. [Puts an afghan over her and dances into his room]	S02E07(1)
afraid	/ә'freid/	a. 害怕的, 恐怕的, 遗憾的	a. filled with fear or apprehension	72	52	[S01E20] Oh God! You see, that's what I was afraid of! ◆ [S02E07] He said that, um, he understands how sex can be like, a very emotional thing for a woman and he was just afraid that I w ◆ [S02E11] I'm afraid the situation is much worse than we expected. Your sister is suffering from a..subcranial hematoma. Perhaps w ◆ [S02E12-E0213] Ahh, I'm afraid I have some bad news. Marcel has passed on. ◆ [S02E18] Ohh, ok, I see what you did there. Aren't you afraid though, that the writers are gonna be kinda mad when they read this	S01E20(2), S02E07(1), S02E11(1), S02E12-E0213(2), S02E18(2), S02E24(2), S03E03(1), S03E04(4), S03E06(1), S03E09(1), S03E10(1), S03E17(1), S03E23(1), S04E01(1), S04E11(2), S04E12(1), S04E17(1), S04E23(2), S04E23-uncut(2), S05E05(1), S05E09(1), S05E14(1), S05E15(2), S05E17(1), S05E19(1), S05E21(2), S06E07(2), S06E08(1), S06E20(1), S07-Outtakes(1), S07E01(1), S07E05(1), S07E10(2), S07E13(1), S07E18(2), S07E21(1), S08E05(1), S08E09(3), S08E12(1), S08E14(1), S09E02(1), S09E06(1), S09E09(1), S09E11(1), S09E12(2), S09E13(2), S09E15(1), S10E07(1), S10E09(1), S10E14(1), S10E16(1), S10E17-E1018(2)
afro	/'æfrәu/	n. Afros 非洲式发型	n. a rounded thickly curled hairdo	1	1	[S09E08] No, I'm not talking about you. <to Rachel> It was your fat friends brother with that bad afro, do you remember? Ross sta	S09E08(1)
afternoon	/'ɑ:ftә'nu:n/	n. 午后, 下午	n. the part of the day between noon and evening	27	24	[S01E20] All right. All right, all right, all right, all right, I know it's stupid! I will go see him this afternoon, and I will  ◆ [S02E05] Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish? ◆ [S02E06] Hey Rach, wanna hear the new song I'm thinkin' of singing this afternoon? I wrote it this morning in the shower. ◆ [S02E11] My parents called this afternoon to say they weren't coming. ◆ [S03E11] Yes, but you ended up having sex with both of them that afternoon.	S01E20(1), S02E05(2), S02E06(1), S02E11(1), S03E11(1), S03E12(1), S04E05(1), S04E06(1), S04E16(1), S04E23(1), S04E23-uncut(1), S05E02(1), S05E13(1), S07E02(1), S07E12(2), S08E07(1), S08E09(1), S08E16(1), S09E11(1), S09E14(1), S09E15(2), S09E17(1), S09E23-E0924(1), S10E15(1)
afterward	/'ɑ:ftәwәd/	adv. 然后, 后来	r happening at a time subsequent to a reference time	2	2	"[S09E16] If you have to call me name, I prefer ""Ross the Divorcer"". It's just cooler. Look, I know my marriage isn't exactly work ◆ [S09E22] Alright, then you go to that party and you pretend to be over Mike. And afterward you come to my place and I'll get you "	S09E16(1), S09E22(1)
afterwards	/'ɑ:ftәwәdz/	adv. 然后, 后来	r happening at a time subsequent to a reference time	1	1	[S08E12] Yeah! Oh, and then afterwards you can take her to the Four Seasons for drinks. Or you go downtown and listen to some jaz	S08E12(1)
agamemnon	/.ægә'memnәn/	n. 阿伽门农(特洛伊战争中希腊统帅)	n. (Greek mythology) the king who lead the Greeks against Troy in the Trojan War	1	1	[S01E11] Ooh! How about Agamemnon?	S01E11(1)
ageist		年龄歧视者		1	1	[S03E10] You keep the old ones in the back, that is so ageist.	S03E10(1)
aggression	/ә'greʃәn/	n. 侵犯, 侵略	n. a disposition to behave aggressively	1	1	[S09E05] A pigeon, a pigeon.  No, no wait, no-no, an eagle flew in. Landed on the stove and caught fire. The baby, seeing this, j	S09E05(1)
aggressive	/ә'gresiv/	a. 侵略的, 挑畔的, 进取的	"a. having or showing determination and energetic pursuit of your ends; positive in his convictions"""	1	1	[S03E24] Oh no! That really is nothing, she is very sexually aggressive.	S03E24(1)
aha	/ɑ:'hɑ:/	interj. 啊哈	interj. An exclamation expressing, by different intonations,	1	1	[S10E03] Oh! Get over it soldier, we've gotta do this!  Ok. Aha! You like that huh?	S10E03(1)
ahead	/ә'hed/	a. 领先的, 预先的, 向前的	s. having the leading position or higher score in a contest	50	40	[S01E01] I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think ab ◆ [S01E15] Alright, alright. I'm around. Go ahead. ◆ [S02E03] I'm sorry, but sometimes they need help. That's fine. Go ahead and scoff. You know, there're a lot of things that I don' ◆ [S02E07] Oh yeah, go ahead. [Rachel walks in her room. Ross picks up the phone and dials his machine to check his messages.] ◆ [S02E08] Go ahead. Try a piece. Yeah, we think that Mockolate is even better than chocolate.	S01E01(2), S01E15(1), S02E03(1), S02E07(2), S02E08(1), S02E11(1), S02E19(2), S02E20(1), S03E04(2), S03E05(1), S03E08(1), S03E09(1), S03E11(1), S03E14(1), S04E14(1), S04E21(1), S05E02(1), S05E07(1), S05E09(2), S05E11(1), S05E15(1), S05E17(1), S05E20(1), S05E23(1), S06E07(1), S06E10(1), S06E14(1), S07E16(2), S07E18(1), S07E23(1), S08E01(2), S08E08(1), S08E15(1), S08E19(1), S09E03(1), S09E05(2), S09E14(1), S09E15(2), S09E19(2), S10E17-E1018(1)
ahoy	/ә'hɒi/	interj. 喂	"interj. A term used in hailing; as, ""Ship ahoy."""	1	1	[S07E03] Ahoy!	S07E03(1)
aide	/eid/	n. 助手, 副官	n. someone who acts as assistant	2	2	[S06E04] Oh-ooh-ooh! Y’know what’s a good visual aide? ◆ [S06E22] Oh, come on you guys; that’s funny! Y’know? Because he’s need—he’s got like a hearing aide y’know, ‘cause-‘cause y’know,	S06E04(1), S06E22(1)
aim	/eim/	n. 目标, 瞄准, 击中目标的能力	n. the goal intended to be attained (and which is believed to be attainable)	2	2	[S01E09] Just aim for the bump. ◆ [S02E06] It's gonna be worth it. It's a known fact that women love babies, all righ? Women love guys who love babies. It's that w	S01E09(1), S02E06(1)
airhead	/'eәhed/	n. 空降物	n. a flighty scatterbrained simpleton	1	1	[S05E10] …so we finally get to the top of the mountain and airhead here  forgets the camera!	S05E10(1)
airline	/'єәlain/	n. 航线, 航线的设备, 航空公司	n. a hose that carries air under pressure	1	1	[S05E23] Yeah? All right I'll call the airlines.	S05E23(1)
airplane	/'єәplein/	n. 飞机	n. an aircraft that has a fixed wing and is powered by propellers or jets	6	6	"[S01E01] No.  No, no, I'm not ready!  How can I be ready?  ""Hey, Rach!  You ready to jump out the airplane without your parachute ◆ [S01E18] Airplane! Airport! Airport '75! Airport '77! Airport '79! ◆ [S03E08] Here. Ben, do you wanna play the airplane game, do you wanna show Rachel? Come here.  We’re gonna do something fun. Okay ◆ [S03E11] Dark, big hair, with the airplane earrings. ◆ [S07E09] Wait! This seat is really uncomfortable! Yeah, maybe before we start we should just get another one. Perhaps, like an ai"	S01E01(1), S01E18(1), S03E08(1), S03E11(1), S07E09(1), S08E05(1)
aisle	/ail/	n. 走廊, 侧廊, 过道	n. a long narrow passage (as in a cave or woods)	15	12	[S02E24] I can not believe I have to walk down the aisle in front of 200 people looking like something you drink when your nauseo ◆ [S03E04] Okay, you know, one of two things is happening here. Either you're seeing somebody behind my back, which would make you  ◆ [S03E22] Oh! Oh! The usher must be right! What, with all that training they go through! Get out!!  Here!   Hey man, you want the  ◆ [S03E23] Yes, and I know that you’d say no if he asked you, but I’m sorry; how great would you look walking down the aisle in thi ◆ [S04E23] Ah, I’m-I’m walking down the aisle...Still walking.  I’m about to pass the bridesmaid I hooked up with last night.	S02E24(1), S03E04(1), S03E22(1), S03E23(1), S04E23(1), S04E23-uncut(1), S06E22(1), S07E23(2), S08E18(1), S09E16(1), S09E23-E0924(1), S10E12(3)
alans	/'ælən/	艾伦,阿伦(男子名)[亦作 Allan,Allen]		1	1	[S01E03] I'll meet somone else. There'll be other Alans.	S01E03(1)
alarm	/ә'lɑ:m/	n. 惊恐, 警报, 警钟	n. fear resulting from the awareness of danger	4	4	[S02E15] Is that the fire alarm? ◆ [S03E04] No, it's like all of the sudden, we were this couple. And this alarm started going off in my head: 'Run for your life! G ◆ [S07E12] Fire alarm?  Oh! Hi, officer—fireman, can-can I help you? ◆ [S09E23-E0924] Alright, I don't wanna alarm anybody, but Monica's hair is twice as big as it was when we landed!	S02E15(1), S03E04(1), S07E12(1), S09E23-E0924(1)
albany	/'ɒ:lbәni/	n. 奥尔巴尼(美国纽约州首府)	n. state capital of New York; located in eastern New York State on the west bank of the Hudson river	3	3	[S02E09] Yeah, um, in Albany, can I have the number of Frank Buffay. . . OK, um, in Ithica. . . alright, um, Saratoga. . . Oneont ◆ [S04E10] How can she be great if she’s from Poughkeepsie?  That joke would’ve killed in Albany. ◆ [S05E05] I don't know, how about the idiot who thought he could drive from Albany to Canada on a half a tank of gas!	S02E09(1), S04E10(1), S05E05(1)
albeit	/ɔ:l'bi:it/	conj. 尽管, 虽然	conj. Even though; although; notwithstanding.	1	1	[S08E20] Nothing! You have apologized to her like a million times and she’s been nothing but terrible to you. And don’t forget yo	S08E20(1)
albert	/'ælbәt/	n. 艾伯特（男子名）	n. prince consort of Queen Victoria of England (1819-1861)	5	2	[S03E12] I need you to come to this bachelor party for my weird cousin Albert, y'know he's the botanist. ◆ [S09E20] Ooh... so sad... Still, it can't be easy for you to leave Harvard? Especially after working alongside a Nobel Prize winn	S03E12(2), S09E20(3)
albino	/æl'bi:nәu/	n. 白化病者, 白化体	n. a person with congenital albinism: white hair and milky skin; eyes are usually pink	4	3	[S01E01] You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-da ◆ [S03E08] Yeah, yeah, first there was my aunt Mary, and then there was umm, John, my mailman, and then my, my cowboy friend ‘Albin ◆ [S04E16] I don’t know, it was you and a bunch of albino kids.	S01E01(1), S03E08(1), S04E16(2)
alby		n. (Alby)人名；(法、瑞典)阿尔比		4	1	[S09E20] Actually, Alby is the guy I broke up with.	S09E20(4)
alcohol	/'ælkәhɒl/	n. 酒精, 酒	n. a liquor or brew containing alcohol as the active agent	6	5	[S02E11] There's more alcohol, right? ◆ [S05E23] Yeah, and also we need more umm, drinks. Hold on a second.  Whup, okay.  Hello! Vegas? Yeah, we would like some more alc ◆ [S06E02] We were drunk! I would’ve married uh, Joey with that amount of alcohol! ◆ [S06E14] Yeah. Ooh, I know what this is missing! Alcohol! ◆ [S07E20] Yeah! Y’know, we were really huge too, but then they had to shut us down when Regina Philange died of alcohol poisoning.	S02E11(1), S05E23(2), S06E02(1), S06E14(1), S07E20(1)
alcoholic	/.ælkә'hɒlik/	n. 酒鬼, 酒精中毒者	n. a person who drinks alcohol to excess habitually	4	4	"[S01E03] Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'. ◆ [S01E13] If I turn into my parents, I'll either be an alcoholic blond chasing after twenty-year-old boys, or... I'll end up like  ◆ [S08E05] Hey, what do you think is a better excuse for why I’m not drinking on this date tonight. ""Umm, I’m a recovering alcoholi ◆ [S10E02] Oh, you know what? This is nothing. My father is a raging alcoholic."	S01E03(1), S01E13(1), S08E05(1), S10E02(1)
ale	/eil/	n. 麦芽酒	n. a general name for beer made with a top fermenting yeast; in some of the United States an ale is 	1	1	[S09E09] So, except for the fermentation process, beer and ale are basically the same thing. Fascinating isn't it.	S09E09(1)
alexander	/,æli^'zɑ:ndә/	n. 亚历山大（男子名）	n. European herb somewhat resembling celery widely naturalized in Britain coastal regions and often 	1	1	[S02E23] Hey thanks. Scott Alexander, Joey Tribbianni. Joey is a uh, fellow processor.	S02E23(1)
algonquin	/æl'^ɔŋkwin/	n. 阿尔冈琴族(语, 人)	n a member of any of the North American Indian groups speaking an Algonquian language and originally	1	1	[S04E03] …it was like the Algonquin kids table.	S04E03(1)
alien	/'eiljәn/	n. 外国人, 外侨	v. transfer property or ownership	2	1	[S03E10] I’m an alien. I’m an alien.	S03E10(2)
alignment	/ә'lainmәnt/	n. 队列, 结盟, 校正	n. the spatial property possessed by an arrangement or position of things in a straight line or in p	1	1	[S03E07] With my alignment. I’ve got one leg shorter than the other. Dr. Green: Oh God!	S03E07(1)
alike	/ә'laik/	a. 相似的, 同样的	a. having the same or similar characteristics	4	4	[S02E02] Of course the packaging does appeal to grown-ups and kids alike. ◆ [S06E07] Wow, couples who live together do start to look alike. So, Mondler...uh, what uh, what ‘cha doin? ◆ [S08E06] It’s just so weird, two people look so much alike, and so different. ◆ [S08E23] I just can’t decide who she looks more alike, you or Rachel?	S02E02(1), S06E07(1), S08E06(1), S08E23(1)
alimony	/'ælimәni/	n. 瞻养费, 生活费	n. court-ordered support paid by one spouse to another after they are separated	2	2	[S04E15] Yeah, I’m riding the alimony pony. ◆ [S07E22] Alimony.	S04E15(1), S07E22(1)
alive	/ә'laiv/	a. 活着的, 活泼的, 敏感的, 热闹的	a. possessing life	38	30	[S01E03] Ooh, I'm alive with pleasure now. ◆ [S01E16] Well, what I really want is for my mom to be alive and enjoy it with me. ◆ [S01E22] 'The hills were alive with the sound of music.' ◆ [S02E12-E0213] It's about your monkey. It's alive. ◆ [S02E19] Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!	S01E03(1), S01E16(1), S01E22(2), S02E12-E0213(1), S02E19(1), S03E08(6), S03E18(1), S04E01(1), S04E02(1), S04E17(1), S05E05(1), S05E20(1), S05E21(2), S06E02(1), S06E04(1), S07E05(1), S07E06(1), S07E15(1), S07E16(1), S08E07(1), S08E18(2), S09E03(1), S09E05(1), S09E13(1), S09E17(1), S09E19(1), S09E21(1), S10E03(1), S10E06(1), S10E17-E1018(1)
